itemID,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,rating
3964,547,37,9,2011,17,19,21,224,8,1620,4
3952,114,37,9,2011,12,14,17,74,645,1222,4
3347,722,37,9,1952,7,16,18,652,502,464,5
3991,259,37,9,1973,7,8,10,1508,1630,1631,5
15,195,37,9,1971,1,8,21,384,93,715,5
3005,541,37,9,1975,10,0,0,794,1213,1968,3
2546,373,37,9,1948,3,10,23,750,1942,1850,3
2986,507,37,9,1942,10,18,0,750,767,1505,3
4015,485,37,9,2003,1,8,12,165,893,1346,2
4016,467,13,9,1994,8,10,21,869,645,1416,5
2646,541,37,9,1984,6,10,15,597,1870,545,4
3883,390,37,9,1963,3,10,13,1787,819,1599,4
3999,146,37,9,2011,1,19,21,46,1857,1824,4
3958,814,37,9,2011,1,3,12,559,8,887,3
3810,747,37,9,1982,7,10,18,516,920,1825,5
3992,497,37,9,2011,1,3,10,823,1348,1646,5
4019,803,37,9,2011,1,21,0,408,388,986,2
4021,152,36,9,2009,8,10,21,1343,560,167,3
4026,797,37,9,2009,10,0,0,710,1575,136,3
4027,712,37,9,2011,4,1,3,1724,1865,932,4
4028,651,7,9,2010,7,0,0,1647,1581,503,3
4003,199,37,9,2011,17,19,21,807,1372,1912,5
4037,340,13,10,2008,3,21,0,1876,1124,1379,5
4041,110,37,9,2002,8,10,17,136,1404,812,4
4050,88,13,10,2004,7,8,0,631,129,1201,5
4055,353,37,9,2011,10,0,0,1323,938,126,4
4056,763,37,9,1988,7,12,0,1352,35,648,5
4061,324,37,9,2011,7,0,0,1658,727,893,5
4004,488,37,9,2011,1,8,19,1667,202,1532,5
4085,430,36,9,1986,11,7,16,487,1673,19,4
4086,503,37,9,2011,1,3,19,1740,999,966,3
4066,704,37,9,2011,7,8,0,846,311,860,3
248,224,37,9,1972,8,10,21,1272,24,811,5
249,224,37,9,1974,8,10,21,24,1624,482,5
250,224,37,9,1990,8,10,21,24,90,482,5
4101,288,37,9,1984,10,15,18,1097,1203,486,5
2679,490,37,9,1990,6,8,10,1620,1575,940,4
4054,800,37,9,2011,7,18,0,1380,1040,1489,3
4105,709,21,15,2010,1,14,19,1072,1090,1982,3
2725,307,37,9,1986,1,14,19,1746,283,1341,2
2205,165,37,9,1992,1,14,19,1746,309,305,1
4065,330,37,9,1997,1,19,21,1746,1972,1640,3
3869,270,37,9,2011,4,1,3,969,779,9,2
4070,267,37,9,2011,7,10,18,1782,1663,1022,4
4036,688,37,9,2011,1,10,19,817,633,234,1
4146,763,37,9,2001,1,3,19,1267,1854,728,1
4138,396,37,9,2011,1,19,21,424,710,1473,3
3661,474,21,15,1995,4,1,19,141,23,761,5
4087,810,37,9,2011,7,12,18,1483,1559,1257,3
4162,196,37,9,1988,7,10,18,110,1019,1183,4
3925,302,13,10,2009,10,8,0,1807,1442,18,3
4173,707,37,9,2011,1,10,19,747,415,593,5
4071,570,36,9,2011,3,7,21,1648,673,1644,5
3455,158,37,9,1996,3,7,10,1245,432,1595,4
4195,446,11,9,2011,10,19,0,1113,316,1106,1
4199,158,37,9,1987,8,7,0,432,196,1110,5
3312,725,3,9,1993,1,3,7,313,1106,341,4
4236,482,37,9,2011,7,18,0,106,335,944,5
4237,512,14,11,2009,3,1,11,980,1941,696,4
4007,654,37,9,2011,1,3,12,969,1521,755,4
3098,255,37,9,1977,1,3,12,1263,710,282,5
4281,186,37,9,2011,7,0,0,16,1067,24,1
4282,740,37,9,2011,10,21,0,1257,1297,1151,5
4272,490,37,9,2011,3,10,11,134,169,329,5
4228,105,37,9,2011,7,10,18,969,5,1364,4
4300,741,37,9,2011,4,1,3,832,94,424,3
4301,711,36,9,2011,6,10,13,1375,1091,527,3
4270,465,37,9,2008,1,19,21,531,1196,1854,4
4302,294,37,9,1980,1,3,19,1263,710,282,5
4004,488,37,9,2011,1,8,19,1667,202,1532,5
4147,72,37,9,2011,6,10,20,223,979,1539,4
3950,432,37,9,2011,1,3,10,336,1416,1868,5
172,763,37,9,2010,3,11,12,1335,969,728,5
150,106,37,9,2000,1,19,21,1495,747,704,5
3954,255,37,9,2005,1,3,19,595,718,1416,5
223,270,37,9,2007,1,3,12,969,1478,1076,5
152,99,37,9,2006,1,19,21,747,704,753,5
151,106,37,9,2003,1,19,21,1495,747,753,5
3313,287,37,9,1993,4,11,12,433,346,297,5
3890,609,7,9,2009,7,8,10,1975,540,1353,1
4306,91,37,9,2011,1,3,21,1863,907,1751,1
4045,135,37,9,2008,1,8,10,349,1343,719,5
4316,619,36,9,2012,6,10,0,1331,924,120,4
2628,669,37,9,1994,7,10,0,1866,1637,646,4
3548,128,37,9,2002,4,3,7,1576,956,472,4
2592,0,37,9,1994,3,4,11,1626,902,814,5
4163,753,37,9,2011,10,0,0,1933,566,256,4
4274,654,37,9,2005,10,18,0,1989,1088,685,5
196,112,37,9,2009,4,1,3,1576,1548,472,4
3646,740,37,9,2004,8,21,0,660,223,1297,4
4100,572,37,9,2011,1,8,10,1994,1368,260,4
2143,499,37,9,1995,1,6,10,1323,827,1712,4
2009,668,37,9,1964,7,10,11,1023,487,459,5
4324,283,36,9,2011,1,3,8,1623,1008,1458,3
4288,244,37,9,2012,1,10,19,895,1002,1179,4
4325,428,37,9,2005,1,19,0,315,1765,1282,5
2343,723,36,9,1964,7,21,0,1533,0,0,5
4326,552,37,9,2012,1,12,21,1437,372,1934,2
3650,140,37,9,1959,4,11,12,1283,192,537,1
4314,677,36,9,1999,7,18,0,1019,746,1596,4
3635,595,37,9,2009,4,3,7,528,368,992,4
141,287,37,9,2009,4,3,12,414,1826,897,4
220,23,37,9,2004,1,17,19,1957,239,246,5
3219,307,13,9,1991,1,19,21,131,1191,530,4
218,270,37,9,2003,1,3,12,969,1478,1076,5
4329,435,36,9,2006,6,10,0,607,823,673,5
4331,41,37,9,2012,1,3,12,1819,1230,1683,4
4219,741,37,9,2011,10,13,22,903,561,1526,5
4333,171,37,9,1984,1,3,19,1129,611,594,4
3773,516,37,9,1991,1,3,7,251,431,84,3
3856,143,37,9,2009,4,1,3,1584,1725,748,3
3753,586,37,9,2006,8,21,0,1001,1404,1755,4
4348,108,37,9,2011,10,11,0,1297,1699,1838,5
4349,752,37,9,2012,3,7,10,1019,1185,130,5
4350,477,37,9,2011,1,6,8,667,1372,1366,3
4351,18,13,10,2009,7,0,0,294,31,222,5
4352,766,12,9,2012,1,7,19,1014,363,689,4
3781,657,37,9,2007,3,7,10,794,1404,1711,4
4353,647,36,9,1993,4,3,7,1929,1301,890,4
4360,391,37,9,1990,7,16,18,969,81,1544,4
4319,525,13,9,2011,7,18,10,866,179,952,5
11,346,37,9,2010,7,18,18,862,61,1378,4
214,493,37,9,2003,14,21,17,704,1622,309,3
215,98,37,9,2010,1,14,17,1857,1562,939,2
216,158,37,9,2003,7,0,0,172,513,535,4
99,396,37,9,2010,1,3,19,1622,699,497,5
228,542,37,9,2009,8,21,0,127,1404,1562,4
229,253,37,9,2002,6,7,8,1679,513,660,2
235,506,37,9,2001,10,17,18,127,98,1840,3
237,804,7,9,2010,1,7,23,1504,1744,517,5
166,126,37,9,2010,4,3,7,862,667,366,4
107,568,37,9,2005,7,12,18,1439,1953,1742,5
74,650,36,9,2005,1,3,13,1478,587,902,4
3514,808,37,9,2004,1,18,0,223,574,1478,3
3515,765,37,9,2005,1,3,12,769,916,1345,4
3516,765,37,9,2007,1,3,12,769,916,1345,5
178,453,37,9,2010,4,3,7,1866,1849,932,4
3545,201,37,9,2010,1,3,7,1344,1284,550,2
3546,52,37,9,2003,10,18,22,1008,1439,1593,4
3550,747,36,9,2005,10,17,21,1439,1715,295,3
112,741,37,9,1984,1,3,0,710,1054,985,5
167,208,37,9,2004,10,17,19,139,82,1330,5
3000,741,37,9,1981,1,3,18,710,1046,1502,5
2491,669,37,9,1985,3,7,19,1351,364,1155,4
3744,669,37,9,1989,3,7,11,1351,364,1837,4
3745,669,37,9,1990,3,7,11,1351,364,1837,4
2677,650,36,9,1979,19,14,21,1873,1746,1915,3
3847,736,37,9,2010,10,16,18,321,354,575,5
3748,221,37,9,2010,1,10,21,969,98,1500,4
3875,291,8,17,2010,6,10,0,332,1990,320,3
3907,727,37,9,1986,1,14,19,556,1488,1144,3
3770,411,37,9,2010,1,3,19,877,640,244,2
3921,716,37,10,2006,6,10,13,1113,856,1613,3
3927,789,37,9,2010,7,0,0,839,1899,1816,2
86,467,13,10,2010,1,3,12,1212,672,1540,5
3923,485,37,9,2007,1,12,21,1437,589,1675,4
3743,591,37,9,2010,7,0,0,1620,172,1483,3
3931,64,37,9,2010,10,21,0,1022,1180,74,4
190,728,37,9,1998,1,3,12,1947,1774,1119,4
191,279,37,9,2002,1,3,12,1947,1119,1640,3
192,176,37,9,2004,1,3,12,1947,917,1667,4
3965,608,37,9,2003,7,0,0,16,794,1258,4
3966,296,37,9,2011,7,18,0,1416,139,1101,4
3969,260,37,9,1944,7,16,0,1582,582,160,5
3971,117,37,9,1953,10,16,18,1171,1322,868,5
3973,81,37,9,1963,7,18,0,793,1742,1206,5
1905,500,37,9,1971,11,16,12,653,789,1530,3
3970,407,37,9,2011,1,19,0,5,1374,1566,1
3964,547,37,9,2011,17,19,21,224,8,1620,4
3952,114,37,9,2011,12,14,17,74,645,1222,4
3347,722,37,9,1952,7,16,18,652,502,464,5
3991,259,37,9,1973,7,8,10,1508,1630,1631,5
15,195,37,9,1971,1,8,21,384,93,715,5
3005,541,37,9,1975,10,0,0,794,1213,1968,3
2546,373,37,9,1948,3,10,23,750,1942,1850,3
2986,507,37,9,1942,10,18,0,750,767,1505,3
4015,485,37,9,2003,1,8,12,165,893,1346,2
4016,467,13,9,1994,8,10,21,869,645,1416,5
2646,541,37,9,1984,6,10,15,597,1870,545,4
3883,390,37,9,1963,3,10,13,1787,819,1599,4
3999,146,37,9,2011,1,19,21,46,1857,1824,4
3958,814,37,9,2011,1,3,12,559,8,887,3
3810,747,37,9,1982,7,10,18,516,920,1825,5
3992,497,37,9,2011,1,3,10,823,1348,1646,5
4019,803,37,9,2011,1,21,0,408,388,986,2
4021,152,36,9,2009,8,10,21,1343,560,167,3
4026,797,37,9,2009,10,0,0,710,1575,136,3
4027,712,37,9,2011,4,1,3,1724,1865,932,4
4028,651,7,9,2010,7,0,0,1647,1581,503,3
4003,199,37,9,2011,17,19,21,807,1372,1912,5
4037,340,13,10,2008,3,21,0,1876,1124,1379,5
4041,110,37,9,2002,8,10,17,136,1404,812,4
4050,88,13,10,2004,7,8,0,631,129,1201,5
4055,353,37,9,2011,10,0,0,1323,938,126,4
4056,763,37,9,1988,7,12,0,1352,35,648,5
4061,324,37,9,2011,7,0,0,1658,727,893,5
4004,488,37,9,2011,1,8,19,1667,202,1532,5
4085,430,36,9,1986,11,7,16,487,1673,19,4
4086,503,37,9,2011,1,3,19,1740,999,966,3
4066,704,37,9,2011,7,8,0,846,311,860,3
248,224,37,9,1972,8,10,21,1272,24,811,5
249,224,37,9,1974,8,10,21,24,1624,482,5
250,224,37,9,1990,8,10,21,24,90,482,5
4101,288,37,9,1984,10,15,18,1097,1203,486,5
2679,490,37,9,1990,6,8,10,1620,1575,940,4
4054,800,37,9,2011,7,18,0,1380,1040,1489,3
4105,709,21,15,2010,1,14,19,1072,1090,1982,3
2725,307,37,9,1986,1,14,19,1746,283,1341,2
2205,165,37,9,1992,1,14,19,1746,309,305,1
4065,330,37,9,1997,1,19,21,1746,1972,1640,3
3869,270,37,9,2011,4,1,3,969,779,9,2
4070,267,37,9,2011,7,10,18,1782,1663,1022,4
4036,688,37,9,2011,1,10,19,817,633,234,1
4146,763,37,9,2001,1,3,19,1267,1854,728,1
4138,396,37,9,2011,1,19,21,424,710,1473,3
3661,474,21,15,1995,4,1,19,141,23,761,5
4087,810,37,9,2011,7,12,18,1483,1559,1257,3
4162,196,37,9,1988,7,10,18,110,1019,1183,4
3925,302,13,10,2009,10,8,0,1807,1442,18,3
4173,707,37,9,2011,1,10,19,747,415,593,5
4071,570,36,9,2011,3,7,21,1648,673,1644,5
3455,158,37,9,1996,3,7,10,1245,432,1595,4
4195,446,11,9,2011,10,19,0,1113,316,1106,1
4199,158,37,9,1987,8,7,0,432,196,1110,5
3312,725,3,9,1993,1,3,7,313,1106,341,4
4236,482,37,9,2011,7,18,0,106,335,944,5
4237,512,14,11,2009,3,1,11,980,1941,696,4
4007,654,37,9,2011,1,3,12,969,1521,755,4
3098,255,37,9,1977,1,3,12,1263,710,282,5
4281,186,37,9,2011,7,0,0,16,1067,24,1
4282,740,37,9,2011,10,21,0,1257,1297,1151,5
4272,490,37,9,2011,3,10,11,134,169,329,5
4228,105,37,9,2011,7,10,18,969,5,1364,4
4300,741,37,9,2011,4,1,3,832,94,424,3
4301,711,36,9,2011,6,10,13,1375,1091,527,3
4270,465,37,9,2008,1,19,21,531,1196,1854,4
4302,294,37,9,1980,1,3,19,1263,710,282,5
4004,488,37,9,2011,1,8,19,1667,202,1532,5
4147,72,37,9,2011,6,10,20,223,979,1539,4
3950,432,37,9,2011,1,3,10,336,1416,1868,5
172,763,37,9,2010,3,11,12,1335,969,728,5
150,106,37,9,2000,1,19,21,1495,747,704,5
3954,255,37,9,2005,1,3,19,595,718,1416,5
223,270,37,9,2007,1,3,12,969,1478,1076,5
152,99,37,9,2006,1,19,21,747,704,753,5
151,106,37,9,2003,1,19,21,1495,747,753,5
3313,287,37,9,1993,4,11,12,433,346,297,5
3890,609,7,9,2009,7,8,10,1975,540,1353,1
4306,91,37,9,2011,1,3,21,1863,907,1751,1
4045,135,37,9,2008,1,8,10,349,1343,719,5
4316,619,36,9,2012,6,10,0,1331,924,120,4
2628,669,37,9,1994,7,10,0,1866,1637,646,4
3548,128,37,9,2002,4,3,7,1576,956,472,4
2592,0,37,9,1994,3,4,11,1626,902,814,5
4163,753,37,9,2011,10,0,0,1933,566,256,4
4274,654,37,9,2005,10,18,0,1989,1088,685,5
196,112,37,9,2009,4,1,3,1576,1548,472,4
3646,740,37,9,2004,8,21,0,660,223,1297,4
4100,572,37,9,2011,1,8,10,1994,1368,260,4
2143,499,37,9,1995,1,6,10,1323,827,1712,4
2009,668,37,9,1964,7,10,11,1023,487,459,5
4324,283,36,9,2011,1,3,8,1623,1008,1458,3
4288,244,37,9,2012,1,10,19,895,1002,1179,4
4325,428,37,9,2005,1,19,0,315,1765,1282,5
2343,723,36,9,1964,7,21,0,1533,0,0,5
4326,552,37,9,2012,1,12,21,1437,372,1934,2
3650,140,37,9,1959,4,11,12,1283,192,537,1
4314,677,36,9,1999,7,18,0,1019,746,1596,4
3635,595,37,9,2009,4,3,7,528,368,992,4
141,287,37,9,2009,4,3,12,414,1826,897,4
220,23,37,9,2004,1,17,19,1957,239,246,5
3219,307,13,9,1991,1,19,21,131,1191,530,4
218,270,37,9,2003,1,3,12,969,1478,1076,5
4329,435,36,9,2006,6,10,0,607,823,673,5
4331,41,37,9,2012,1,3,12,1819,1230,1683,4
4219,741,37,9,2011,10,13,22,903,561,1526,5
4333,171,37,9,1984,1,3,19,1129,611,594,4
3773,516,37,9,1991,1,3,7,251,431,84,3
3856,143,37,9,2009,4,1,3,1584,1725,748,3
3753,586,37,9,2006,8,21,0,1001,1404,1755,4
4348,108,37,9,2011,10,11,0,1297,1699,1838,5
4349,752,37,9,2012,3,7,10,1019,1185,130,5
4350,477,37,9,2011,1,6,8,667,1372,1366,3
4351,18,13,10,2009,7,0,0,294,31,222,5
4352,766,12,9,2012,1,7,19,1014,363,689,4
3781,657,37,9,2007,3,7,10,794,1404,1711,4
4353,647,36,9,1993,4,3,7,1929,1301,890,4
4360,391,37,9,1990,7,16,18,969,81,1544,4
4319,525,13,9,2011,7,18,10,866,179,952,5
11,346,37,9,2010,7,18,18,862,61,1378,4
214,493,37,9,2003,14,21,17,704,1622,309,3
215,98,37,9,2010,1,14,17,1857,1562,939,2
216,158,37,9,2003,7,0,0,172,513,535,4
99,396,37,9,2010,1,3,19,1622,699,497,5
228,542,37,9,2009,8,21,0,127,1404,1562,4
229,253,37,9,2002,6,7,8,1679,513,660,2
235,506,37,9,2001,10,17,18,127,98,1840,3
237,804,7,9,2010,1,7,23,1504,1744,517,5
166,126,37,9,2010,4,3,7,862,667,366,4
107,568,37,9,2005,7,12,18,1439,1953,1742,5
74,650,36,9,2005,1,3,13,1478,587,902,4
3514,808,37,9,2004,1,18,0,223,574,1478,3
3515,765,37,9,2005,1,3,12,769,916,1345,4
3516,765,37,9,2007,1,3,12,769,916,1345,5
178,453,37,9,2010,4,3,7,1866,1849,932,4
3545,201,37,9,2010,1,3,7,1344,1284,550,2
3546,52,37,9,2003,10,18,22,1008,1439,1593,4
3550,747,36,9,2005,10,17,21,1439,1715,295,3
112,741,37,9,1984,1,3,0,710,1054,985,5
167,208,37,9,2004,10,17,19,139,82,1330,5
3000,741,37,9,1981,1,3,18,710,1046,1502,5
2491,669,37,9,1985,3,7,19,1351,364,1155,4
3744,669,37,9,1989,3,7,11,1351,364,1837,4
3745,669,37,9,1990,3,7,11,1351,364,1837,4
2677,650,36,9,1979,19,14,21,1873,1746,1915,3
3847,736,37,9,2010,10,16,18,321,354,575,5
3748,221,37,9,2010,1,10,21,969,98,1500,4
3875,291,8,17,2010,6,10,0,332,1990,320,3
3907,727,37,9,1986,1,14,19,556,1488,1144,3
3770,411,37,9,2010,1,3,19,877,640,244,2
3921,716,37,10,2006,6,10,13,1113,856,1613,3
3927,789,37,9,2010,7,0,0,839,1899,1816,2
86,467,13,10,2010,1,3,12,1212,672,1540,5
3923,485,37,9,2007,1,12,21,1437,589,1675,4
3743,591,37,9,2010,7,0,0,1620,172,1483,3
3931,64,37,9,2010,10,21,0,1022,1180,74,4
190,728,37,9,1998,1,3,12,1947,1774,1119,4
191,279,37,9,2002,1,3,12,1947,1119,1640,3
192,176,37,9,2004,1,3,12,1947,917,1667,4
3965,608,37,9,2003,7,0,0,16,794,1258,4
3966,296,37,9,2011,7,18,0,1416,139,1101,4
3969,260,37,9,1944,7,16,0,1582,582,160,5
3971,117,37,9,1953,10,16,18,1171,1322,868,5
3973,81,37,9,1963,7,18,0,793,1742,1206,5
1905,500,37,9,1971,11,16,12,653,789,1530,3
3970,407,37,9,2011,1,19,0,5,1374,1566,1
3964,547,37,9,2011,17,19,21,224,8,1620,4
3952,114,37,9,2011,12,14,17,74,645,1222,4
3347,722,37,9,1952,7,16,18,652,502,464,5
3991,259,37,9,1973,7,8,10,1508,1630,1631,5
15,195,37,9,1971,1,8,21,384,93,715,5
3005,541,37,9,1975,10,0,0,794,1213,1968,3
2546,373,37,9,1948,3,10,23,750,1942,1850,3
2986,507,37,9,1942,10,18,0,750,767,1505,3
4015,485,37,9,2003,1,8,12,165,893,1346,2
4016,467,13,9,1994,8,10,21,869,645,1416,5
2646,541,37,9,1984,6,10,15,597,1870,545,4
3883,390,37,9,1963,3,10,13,1787,819,1599,4
3999,146,37,9,2011,1,19,21,46,1857,1824,4
3958,814,37,9,2011,1,3,12,559,8,887,3
3810,747,37,9,1982,7,10,18,516,920,1825,5
3992,497,37,9,2011,1,3,10,823,1348,1646,5
4019,803,37,9,2011,1,21,0,408,388,986,2
4021,152,36,9,2009,8,10,21,1343,560,167,3
4026,797,37,9,2009,10,0,0,710,1575,136,3
4027,712,37,9,2011,4,1,3,1724,1865,932,4
4028,651,7,9,2010,7,0,0,1647,1581,503,3
4003,199,37,9,2011,17,19,21,807,1372,1912,5
4037,340,13,10,2008,3,21,0,1876,1124,1379,5
4041,110,37,9,2002,8,10,17,136,1404,812,4
4050,88,13,10,2004,7,8,0,631,129,1201,5
4055,353,37,9,2011,10,0,0,1323,938,126,4
4056,763,37,9,1988,7,12,0,1352,35,648,5
4061,324,37,9,2011,7,0,0,1658,727,893,5
4004,488,37,9,2011,1,8,19,1667,202,1532,5
4085,430,36,9,1986,11,7,16,487,1673,19,4
4086,503,37,9,2011,1,3,19,1740,999,966,3
4066,704,37,9,2011,7,8,0,846,311,860,3
248,224,37,9,1972,8,10,21,1272,24,811,5
249,224,37,9,1974,8,10,21,24,1624,482,5
250,224,37,9,1990,8,10,21,24,90,482,5
4101,288,37,9,1984,10,15,18,1097,1203,486,5
2679,490,37,9,1990,6,8,10,1620,1575,940,4
4054,800,37,9,2011,7,18,0,1380,1040,1489,3
4105,709,21,15,2010,1,14,19,1072,1090,1982,3
2725,307,37,9,1986,1,14,19,1746,283,1341,2
2205,165,37,9,1992,1,14,19,1746,309,305,1
4065,330,37,9,1997,1,19,21,1746,1972,1640,3
3869,270,37,9,2011,4,1,3,969,779,9,2
4070,267,37,9,2011,7,10,18,1782,1663,1022,4
4036,688,37,9,2011,1,10,19,817,633,234,1
4146,763,37,9,2001,1,3,19,1267,1854,728,1
4138,396,37,9,2011,1,19,21,424,710,1473,3
3661,474,21,15,1995,4,1,19,141,23,761,5
4087,810,37,9,2011,7,12,18,1483,1559,1257,3
4162,196,37,9,1988,7,10,18,110,1019,1183,4
3925,302,13,10,2009,10,8,0,1807,1442,18,3
4173,707,37,9,2011,1,10,19,747,415,593,5
4071,570,36,9,2011,3,7,21,1648,673,1644,5
3455,158,37,9,1996,3,7,10,1245,432,1595,4
4195,446,11,9,2011,10,19,0,1113,316,1106,1
4199,158,37,9,1987,8,7,0,432,196,1110,5
3312,725,3,9,1993,1,3,7,313,1106,341,4
4236,482,37,9,2011,7,18,0,106,335,944,5
4237,512,14,11,2009,3,1,11,980,1941,696,4
4007,654,37,9,2011,1,3,12,969,1521,755,4
3098,255,37,9,1977,1,3,12,1263,710,282,5
4281,186,37,9,2011,7,0,0,16,1067,24,1
4282,740,37,9,2011,10,21,0,1257,1297,1151,5
4272,490,37,9,2011,3,10,11,134,169,329,5
4228,105,37,9,2011,7,10,18,969,5,1364,4
4300,741,37,9,2011,4,1,3,832,94,424,3
4301,711,36,9,2011,6,10,13,1375,1091,527,3
4270,465,37,9,2008,1,19,21,531,1196,1854,4
4302,294,37,9,1980,1,3,19,1263,710,282,5
4004,488,37,9,2011,1,8,19,1667,202,1532,5
4147,72,37,9,2011,6,10,20,223,979,1539,4
3950,432,37,9,2011,1,3,10,336,1416,1868,5
172,763,37,9,2010,3,11,12,1335,969,728,5
150,106,37,9,2000,1,19,21,1495,747,704,5
3954,255,37,9,2005,1,3,19,595,718,1416,5
223,270,37,9,2007,1,3,12,969,1478,1076,5
152,99,37,9,2006,1,19,21,747,704,753,5
151,106,37,9,2003,1,19,21,1495,747,753,5
3313,287,37,9,1993,4,11,12,433,346,297,5
3890,609,7,9,2009,7,8,10,1975,540,1353,1
4306,91,37,9,2011,1,3,21,1863,907,1751,1
4045,135,37,9,2008,1,8,10,349,1343,719,5
4316,619,36,9,2012,6,10,0,1331,924,120,4
2628,669,37,9,1994,7,10,0,1866,1637,646,4
3548,128,37,9,2002,4,3,7,1576,956,472,4
2592,0,37,9,1994,3,4,11,1626,902,814,5
4163,753,37,9,2011,10,0,0,1933,566,256,4
4274,654,37,9,2005,10,18,0,1989,1088,685,5
196,112,37,9,2009,4,1,3,1576,1548,472,4
3646,740,37,9,2004,8,21,0,660,223,1297,4
4100,572,37,9,2011,1,8,10,1994,1368,260,4
2143,499,37,9,1995,1,6,10,1323,827,1712,4
2009,668,37,9,1964,7,10,11,1023,487,459,5
4324,283,36,9,2011,1,3,8,1623,1008,1458,3
4288,244,37,9,2012,1,10,19,895,1002,1179,4
4325,428,37,9,2005,1,19,0,315,1765,1282,5
2343,723,36,9,1964,7,21,0,1533,0,0,5
4326,552,37,9,2012,1,12,21,1437,372,1934,2
3650,140,37,9,1959,4,11,12,1283,192,537,1
4314,677,36,9,1999,7,18,0,1019,746,1596,4
3635,595,37,9,2009,4,3,7,528,368,992,4
141,287,37,9,2009,4,3,12,414,1826,897,4
220,23,37,9,2004,1,17,19,1957,239,246,5
3219,307,13,9,1991,1,19,21,131,1191,530,4
218,270,37,9,2003,1,3,12,969,1478,1076,5
4329,435,36,9,2006,6,10,0,607,823,673,5
4331,41,37,9,2012,1,3,12,1819,1230,1683,4
4219,741,37,9,2011,10,13,22,903,561,1526,5
4333,171,37,9,1984,1,3,19,1129,611,594,4
3773,516,37,9,1991,1,3,7,251,431,84,3
3856,143,37,9,2009,4,1,3,1584,1725,748,3
3753,586,37,9,2006,8,21,0,1001,1404,1755,4
4348,108,37,9,2011,10,11,0,1297,1699,1838,5
4349,752,37,9,2012,3,7,10,1019,1185,130,5
4350,477,37,9,2011,1,6,8,667,1372,1366,3
4351,18,13,10,2009,7,0,0,294,31,222,5
4352,766,12,9,2012,1,7,19,1014,363,689,4
3781,657,37,9,2007,3,7,10,794,1404,1711,4
4353,647,36,9,1993,4,3,7,1929,1301,890,4
4360,391,37,9,1990,7,16,18,969,81,1544,4
4319,525,13,9,2011,7,18,10,866,179,952,5
11,346,37,9,2010,7,18,18,862,61,1378,4
214,493,37,9,2003,14,21,17,704,1622,309,3
215,98,37,9,2010,1,14,17,1857,1562,939,2
216,158,37,9,2003,7,0,0,172,513,535,4
99,396,37,9,2010,1,3,19,1622,699,497,5
228,542,37,9,2009,8,21,0,127,1404,1562,4
